Time,Time Delta,oa_temp,ef4cmd,ef4opr,filter,freeze,humvalve,hwrtemp,hwvalve,outair,outaircmd,preheatintemp,preheatouttemp,preheattemp,preheatvalve,satemp,sfancmd,sfanopr,sfanstatic,sfansuc,sfanvfd,smoke,spacehumid,spacetemp,supplyhumid,vfdalarm,cwrtemp,cwvalve,face,rm433cwrtemp,rm433cwvalve,rm433temp,rm433tempalarm,rm609cwrtemp,rm609cwvalve,rm609temp,cfclevel,chillercmd,comp1oper,comp2oper,cwstemp,highsidepress,isovalves,lowsidepress,pump3cmd,pump3oper,mainchillercmd,pump5cmd,pump5oper,hhwsetpoint,hwstemp,oatmanadj,pump1acmd,pump1aoper,pump1bcmd,pump1boper,pump4cmd,pump4oper,steamvalve,valveposition,entrancelights,flr3lights,flr4lights,flr4temp,flr5lights,flr6lights,flr6temp,instrumentair,toiletexcmd,toiletexopr,pump6cmd,pump6oper,pump2cmd,pump2oper
2017-03-14 10:02:32.705697,0.0,21.23,On,On,Off,Normal,0.00,141.65,52.61,Open,Open,29.61,29.97,49.76,100.00,64.34,On,On,On,On,80.0,On,15.79,64.08,7.24,On,249.45,0.00,54.25,61.81,0.00,68.23,Normal,59.89,9.89,71.86,0.0,On,Off,Off,77.52,223.3,Secondary,209.9,On,On,Off,Off,Off,146.78,143.23,21.23,On,On,On,On,Off,Off,21.10,Heating,On,On,On,76.74,On,On,82.04,On,On,Off,On,On,On,On
2017-03-14 10:02:35.711743,3.006046,21.23,On,On,Off,Normal,0.00,141.65,52.61,Open,Open,29.61,29.97,49.76,100.00,64.34,On,On,On,On,80.0,On,15.79,64.08,7.24,On,249.45,0.00,54.25,61.81,0.00,68.23,Normal,59.89,9.89,71.86,0.0,On,Off,Off,77.52,223.3,Secondary,209.9,On,On,Off,Off,Off,146.78,143.23,21.23,On,On,On,On,Off,Off,21.10,Heating,On,On,On,76.74,On,On,82.04,On,On,Off,On,On,On,On
2017-03-14 10:02:38.654802,5.949105,21.23,On,On,Off,Normal,0.00,141.35,52.61,Open,Open,29.61,29.97,49.76,100.00,64.34,On,On,On,On,80.0,On,15.79,64.08,7.24,On,249.45,0.00,54.25,61.81,0.00,68.23,Normal,59.89,9.89,71.86,0.0,On,Off,Off,77.52,223.3,Secondary,209.9,On,On,Off,Off,Off,146.78,142.95,21.23,On,On,On,On,Off,Off,21.98,Heating,On,On,On,76.74,On,On,82.04,On,On,Off,On,On,On,On
2017-03-14 10:02:41.655509,8.949812,21.23,On,On,Off,Normal,0.00,141.35,52.61,Open,Open,29.61,29.97,49.76,100.00,64.34,On,On,On,On,80.0,On,15.76,64.08,7.24,On,249.45,0.00,54.25,61.81,0.00,68.23,Normal,59.89,9.89,71.86,0.0,On,Off,Off,77.52,223.3,Secondary,209.9,On,On,Off,Off,Off,146.78,142.95,21.23,On,On,On,On,Off,Off,21.98,Heating,On,On,On,76.74,On,On,82.04,On,On,Off,On,On,On,On
2017-03-14 10:02:44.516920,11.811223,21.23,On,On,Off,Normal,0.00,141.35,52.65,Open,Open,29.61,29.97,49.78,100.00,64.24,On,On,On,On,80.0,On,15.76,64.08,7.25,On,249.45,0.00,54.40,61.80,0.00,68.53,Normal,59.84,9.89,71.77,0.0,On,Off,Off,77.52,223.2,Secondary,209.9,On,On,Off,Off,Off,146.78,142.95,21.23,On,On,On,On,Off,Off,21.98,Heating,On,On,On,76.74,On,On,82.04,On,On,Off,On,On,On,On
2017-03-14 10:02:47.508159,14.802462,21.23,On,On,Off,Normal,0.00,141.35,52.65,Open,Open,29.61,29.97,49.78,100.00,64.24,On,On,On,On,80.0,On,15.76,66.75,7.25,On,249.45,0.00,54.40,61.80,0.00,68.53,Normal,59.84,6.36,71.77,0.0,On,Off,Off,77.52,223.2,Secondary,209.9,On,On,Off,Off,Off,146.78,142.95,21.23,On,On,On,On,Off,Off,21.98,Heating,On,On,On,76.74,On,On,82.04,On,On,Off,On,On,On,On
2017-03-14 10:02:50.444590,17.738893,21.23,On,On,Off,Normal,0.00,141.35,52.65,Open,Open,29.61,29.97,49.78,100.00,64.24,On,On,On,On,80.0,On,15.76,66.75,7.25,On,249.45,0.00,54.40,61.80,0.00,68.53,Normal,59.84,6.36,71.77,0.0,On,Off,Off,77.52,223.2,Secondary,209.9,On,On,Off,Off,Off,146.78,142.95,21.23,On,On,On,On,Off,Off,21.98,Heating,On,On,On,76.74,On,On,82.04,On,On,Off,On,On,On,On
2017-03-14 10:02:53.288205,20.582508,21.23,On,On,Off,Normal,0.00,141.06,52.65,Open,Open,29.61,29.97,49.78,100.00,64.24,On,On,On,On,80.0,On,15.76,66.75,7.25,On,249.45,0.00,54.40,61.80,0.00,68.53,Normal,59.84,6.36,71.77,0.0,On,Off,Off,77.52,223.2,Secondary,209.9,On,On,Off,Off,Off,146.78,142.66,21.23,On,On,On,On,Off,Off,22.84,Heating,On,On,On,76.74,On,On,82.04,On,On,Off,On,On,On,On
2017-03-14 10:02:56.175800,23.470103,21.23,On,On,Off,Normal,0.00,141.06,52.65,Open,Open,29.61,29.97,49.78,100.00,64.24,On,On,On,On,80.0,On,15.74,66.75,7.25,On,249.45,0.00,54.40,61.80,0.00,68.53,Normal,59.84,6.36,71.77,0.0,On,Off,Off,77.52,223.2,Secondary,209.9,On,On,Off,Off,Off,146.78,142.66,21.23,On,On,On,On,Off,Off,22.84,Heating,On,On,On,76.74,On,On,82.04,On,On,Off,On,On,On,On
2017-03-14 10:02:59.025942,26.320245,21.23,On,On,Off,Normal,0.00,141.06,52.40,Open,Open,29.61,29.97,49.95,100.00,64.06,On,On,On,On,80.0,On,15.74,66.27,7.17,On,249.45,0.00,54.46,62.01,0.00,68.52,Normal,59.84,6.36,71.77,0.0,On,Off,Off,77.52,223.2,Secondary,209.8,On,On,Off,Off,Off,146.78,142.66,21.23,On,On,On,On,Off,Off,22.84,Heating,On,On,On,76.74,On,On,82.04,On,On,Off,On,On,On,On
