Time,Time Delta,n_temp,s_temp,e_temp,w_temp,c_temp,b_temp
48:08.1,103811.3353,0,0,0,0,0,71.066
2017-02-15 15:15:32.821190,0,0,0,0,0,0,73.422
2017-02-15 15:17:37.893343,125.072153,0,0,0,0,0,73.36600000000001
2017-02-15 15:19:46.946725,254.125535,0,0,0,0,0,73.358
2017-02-15 15:21:56.834154,384.012964,0,0,0,0,0,73.43
2017-02-15 15:24:06.819589,513.998399,0,0,0,0,0,73.346
2017-02-15 15:26:22.357341,649.536151,0,0,0,0,0,73.29999999999998
2017-02-15 15:28:42.386350,789.56516,0,0,0,0,0,73.33800000000001
2017-02-15 15:30:50.324668,917.503478,0,0,0,0,0,73.28799999999998
2017-02-15 15:32:53.865734,1041.044544,0,0,0,0,0,73.34
2017-02-15 15:35:18.275994,1185.454804,0,0,0,0,0,73.332
2017-02-15 15:37:29.570503,1316.749313,0,0,0,0,0,73.36600000000001
2017-02-15 15:39:34.906672,1442.085482,0,0,0,0,0,73.452
2017-02-15 15:41:44.969111,1572.147921,0,0,0,0,0,73.46799999999999
2017-02-15 15:44:33.985779,1741.164589,0,0,0,0,0,73.456
2017-02-15 15:48:18.844640,1966.02345,0,0,0,0,0,73.40599999999999
2017-02-15 15:50:22.917736,2090.096546,0,0,0,0,0,73.398
2017-02-15 15:52:32.498148,2219.676958,0,0,0,0,0,73.304
2017-02-15 15:54:34.825145,2342.003955,0,0,0,0,0,73.26599999999999
2017-02-15 15:56:38.889241,2466.068051,0,0,0,0,0,73.33
2017-02-15 15:58:42.933336,2590.112146,0,0,0,0,0,73.394
58:42.9,2590.112146,0,0,0,0,0,73.394
00:46.9,2714.066235,0,0,0,0,0,73.428
03:19.1,2866.310943,0,0,0,0,0,73.41
05:24.4,2991.61011,0,0,0,0,0,73.27799999999999
07:32.1,3119.320509,0,0,0,0,0,73.28
09:46.9,3254.115219,0,0,0,0,0,73.20599999999999
11:58.9,3386.096768,0,0,0,0,0,73.19200000000001
14:08.8,3516.025199,0,0,0,0,0,73.30600000000001
16:24.4,3651.617955,0,0,0,0,0,73.424
18:27.9,3775.102018,0,0,0,0,0,73.348
20:40.5,3907.697602,0,0,0,0,0,73.36
22:47.4,4034.59186,0,0,0,0,0,73.28200000000001
24:53.0,4160.226045,0,0,0,0,0,73.19200000000001
26:58.0,4285.165192,0,0,0,0,0,73.268
29:10.6,4417.788777,0,0,0,0,0,73.21399999999998
31:17.6,4544.802042,0,0,0,0,0,73.15599999999999
33:36.4,4683.608981,0,0,0,0,0,73.128
35:40.0,4807.130046,0,0,0,0,0,73.16
37:58.5,4945.66197,0,0,0,0,0,73.21799999999999
40:06.4,5073.627289,0,0,0,0,0,73.292
42:20.6,5207.74196,0,0,0,0,0,73.36800000000001
44:24.2,5331.369031,0,0,0,0,0,73.45599999999999
46:36.6,5463.745602,0,0,0,0,0,73.304
48:40.0,5587.202664,0,0,0,0,0,73.226
50:51.0,5718.189156,0,0,0,0,0,73.236
52:54.5,5841.729222,0,0,0,0,0,73.19
55:00.8,5967.998444,0,0,0,0,0,73.18199999999999
57:07.3,6094.49968,0,0,0,0,0,73.216
59:22.5,6229.65341,0,0,0,0,0,73.33800000000001
01:28.8,6355.944633,0,0,0,0,0,73.276
03:42.5,6489.672282,0,0,0,0,0,73.398
05:48.5,6615.669489,0,0,0,0,0,73.34200000000001
08:00.5,6747.673128,0,0,0,0,0,73.224
10:02.8,6870.019126,0,0,0,0,0,73.256
12:16.7,7003.875782,0,0,0,0,0,73.15599999999999
14:20.1,7127.293841,0,0,0,0,0,73.18799999999999
16:32.6,7259.740416,0,0,0,0,0,73.3
18:41.8,7389.016811,0,0,0,0,0,73.422
20:52.6,7519.743288,0,0,0,0,0,73.36999999999998
22:58.5,7645.706492,0,0,0,0,0,73.28999999999999
25:10.7,7777.866052,0,0,0,0,0,73.33
27:24.7,7911.837714,0,0,0,0,0,73.398
29:36.6,8043.801262,0,0,0,0,0,73.328
31:50.1,8177.324899,0,0,0,0,0,73.39
34:01.0,8308.210385,0,0,0,0,0,73.342
36:13.4,8440.579957,0,0,0,0,0,73.378
38:17.2,8564.377037,0,0,0,0,0,73.354
40:38.7,8705.86413,0,0,0,0,0,73.142
42:42.1,8829.286189,0,0,0,0,0,73.13
44:54.6,8961.777767,0,0,0,0,0,73.20599999999999
46:58.2,9085.344835,0,0,0,0,0,73.23599999999999
49:10.5,9217.702405,0,0,0,0,0,73.304
51:24.6,9351.819076,0,0,0,0,0,73.332
53:32.7,9479.841399,0,0,0,0,0,73.294
55:40.6,9607.797718,0,0,0,0,0,73.246
57:47.4,9734.533967,0,0,0,0,0,73.296
59:56.8,9863.953369,0,0,0,0,0,73.21600000000001
02:10.6,9997.765022,0,0,0,0,0,73.26000000000002
04:17.1,10124.30626,0,0,0,0,0,73.328
06:20.7,10247.85033,0,0,0,0,0,73.426
08:34.6,10381.77608,0,0,0,0,0,73.48600000000002
10:38.2,10505.37015,0,0,0,0,0,73.47200000000001
12:44.7,10631.83138,0,0,0,0,0,73.372
14:48.2,10755.42345,0,0,0,0,0,73.178
16:54.6,10881.77968,0,0,0,0,0,73.184
16:54.6,10881.77968,0,0,0,0,0,73.184
19:02.6,11009.77,0,0,0,0,0,73.104
21:14.8,11141.99656,0,0,0,0,0,73.2
23:27.1,11274.30513,0,0,0,0,0,73.144
25:48.8,11416.02223,0,0,0,0,0,73.16399999999999
27:56.6,11543.81754,0,0,0,0,0,73.086
30:13.4,11680.57436,0,0,0,0,0,73.162
32:24.7,11811.87687,0,0,0,0,0,73.14999999999999
34:31.1,11938.32611,0,0,0,0,0,73.336
37:30.6,12117.82437,0,0,0,0,0,73.538
39:32.8,12240.01836,0,0,0,0,0,73.53200000000001
42:24.2,12411.35116,0,0,0,0,0,73.454
44:57.7,12564.88894,0,0,0,0,0,73.314
47:16.3,12703.48187,0,0,0,0,0,73.26
50:10.3,12877.49182,0,0,0,0,0,73.144
52:13.8,13000.96989,0,0,0,0,0,73.284
55:08.1,13175.32086,0,0,0,0,0,73.328
57:29.5,13316.70295,0,0,0,0,0,73.412
00:11.8,13478.93723,0,0,0,0,0,73.346
03:08.3,13655.45132,0,0,0,0,0,73.268
06:05.5,13832.69546,0,0,0,0,0,73.212
08:09.2,13956.38665,0,0,0,0,0,73.28999999999999
10:53.4,14120.55504,0,0,0,0,0,73.41
13:48.3,14295.46305,0,0,0,0,0,73.452
16:00.9,14428.05263,0,0,0,0,0,73.48800000000001
18:14.4,14561.53026,0,0,0,0,0,73.386
20:16.6,14683.73525,0,0,0,0,0,73.354
22:29.8,14816.99188,0,0,0,0,0,73.23400000000001
25:21.3,14988.48669,0,0,0,0,0,73.232
27:31.3,15118.47312,0,0,0,0,0,73.312
29:45.4,15252.54079,0,0,0,0,0,73.38
32:29.5,15416.67518,0,0,0,0,0,73.40599999999999
34:33.5,15540.65527,0,0,0,0,0,73.428
36:58.3,15685.45255,0,0,0,0,0,73.28599999999999
39:22.9,15830.03982,0,0,0,0,0,73.28
41:57.8,15985.02868,0,0,0,0,0,73.31800000000001
44:49.3,16156.43949,0,0,0,0,0,73.346
47:12.2,16299.37166,0,0,0,0,0,73.278
49:15.7,16422.91773,0,0,0,0,0,73.25399999999999
51:19.3,16546.4888,0,0,0,0,0,73.27799999999999
54:13.9,16721.08378,0,0,0,0,0,73.358
56:43.2,16870.39332,0,0,0,0,0,73.386
58:46.9,16994.0564,0,0,0,0,0,73.398
01:30.3,17157.48174,0,0,0,0,0,73.41
04:02.5,17309.65545,0,0,0,0,0,73.326
06:54.1,17481.23626,0,0,0,0,0,73.258
09:45.4,17652.56413,0,0,0,0,0,73.26599999999999
12:30.9,17818.0856,0,0,0,0,0,73.402
15:14.4,17981.57195,0,0,0,0,0,73.386
17:33.0,18120.18188,0,0,0,0,0,73.39599999999999
20:09.3,18276.47082,0,0,0,0,0,73.374
22:17.6,18404.80616,0,0,0,0,0,73.482
25:14.0,18581.22825,0,0,0,0,0,73.25399999999999
27:32.5,18719.70117,0,0,0,0,0,73.216
30:32.0,18899.17144,0,0,0,0,0,73.268
33:26.5,19073.62941,0,0,0,0,0,73.21799999999999
36:17.9,19245.04722,0,0,0,0,0,73.29799999999999
39:09.4,19416.60303,0,0,0,0,0,73.392
41:59.4,19586.53375,0,0,0,0,0,73.25
44:39.2,19746.4239,0,0,0,0,0,73.27000000000001
46:43.0,19870.19597,0,0,0,0,0,73.18
49:00.0,20007.14781,0,0,0,0,0,73.064
51:10.3,20137.52126,0,0,0,0,0,72.97
53:15.3,20262.51341,0,0,0,0,0,73.02799999999999
55:26.3,20393.48191,0,0,0,0,0,73.144
