Time,Time Delta,n_flow,s_flow,e_flow,w_flow,c_flow,b_flow
48:08.1,103811.3353,1529.0,2901.0,4158.0,2752.0,2807.0,2968.0
2017-02-15 15:15:32.821190,0,1604.0,1792.0,4067.0,3065.0,2073.0,3940.0
2017-02-15 15:17:37.893343,125.072153,1623.0,1822.0,3961.0,3022.0,2060.0,3914.0
2017-02-15 15:19:46.946725,254.125535,1582.0,1844.0,3852.0,2883.0,2079.0,3848.0
2017-02-15 15:21:56.834154,384.012964,1649.0,1785.0,3617.0,2869.0,2054.0,3923.0
2017-02-15 15:24:06.819589,513.998399,1660.0,1713.0,3573.0,2740.0,2068.0,3992.0
2017-02-15 15:26:22.357341,649.536151,1713.0,1699.0,3617.0,2860.0,2058.0,3725.0
2017-02-15 15:28:42.386350,789.56516,1719.0,1719.0,3538.0,2652.0,2060.0,3838.0
2017-02-15 15:30:50.324668,917.503478,1651.0,1765.0,3660.0,2845.0,2098.0,3853.0
2017-02-15 15:32:53.865734,1041.044544,1644.0,1760.0,3575.0,2661.0,2095.0,3783.0
2017-02-15 15:35:18.275994,1185.454804,1653.0,1717.0,3587.0,2561.0,2106.0,3687.0
2017-02-15 15:37:29.570503,1316.749313,1627.0,1703.0,3576.0,2723.0,2109.0,3733.0
2017-02-15 15:39:34.906672,1442.085482,1713.0,1652.0,3558.0,2800.0,2045.0,3738.0
2017-02-15 15:41:44.969111,1572.147921,1715.0,1698.0,3574.0,2794.0,2040.0,3844.0
2017-02-15 15:44:33.985779,1741.164589,1779.0,1707.0,3608.0,2742.0,2112.0,3849.0
2017-02-15 15:48:18.844640,1966.02345,1671.0,1704.0,3560.0,2660.0,2069.0,3838.0
2017-02-15 15:50:22.917736,2090.096546,1728.0,1745.0,3584.0,2818.0,2075.0,3811.0
2017-02-15 15:52:32.498148,2219.676958,1679.0,1692.0,3547.0,2815.0,2063.0,3833.0
2017-02-15 15:54:34.825145,2342.003955,1665.0,1686.0,3713.0,2835.0,2060.0,3749.0
2017-02-15 15:56:38.889241,2466.068051,1772.0,1689.0,3697.0,2799.0,2055.0,3698.0
2017-02-15 15:58:42.933336,2590.112146,1773.0,1721.0,3651.0,2666.0,2057.0,3743.0
58:42.9,2590.112146,1773.0,1721.0,3651.0,2666.0,2057.0,3743.0
00:46.9,2714.066235,1785.0,1696.0,3929.0,2700.0,2045.0,3743.0
03:19.1,2866.310943,1718.0,1709.0,3965.0,2683.0,2059.0,3799.0
05:24.4,2991.61011,1702.0,1675.0,3927.0,2616.0,2062.0,3722.0
07:32.1,3119.320509,1655.0,1665.0,3946.0,2508.0,2084.0,3684.0
09:46.9,3254.115219,1657.0,1651.0,3697.0,2506.0,2076.0,3609.0
11:58.9,3386.096768,1784.0,1640.0,3907.0,2526.0,2051.0,3485.0
14:08.8,3516.025199,1765.0,1655.0,3862.0,2431.0,2042.0,3514.0
