Time,Time Delta,floor2_flow,floor3_flow,floor4_flow,floor5_flow,floor6_flow,floor7_flow,floor8_flow
48:08.1,103811.3353,3845.0,2661.0,2641.0,2115.0,3028.0,2013.0,0
2017-02-15 15:15:32.821190,0,2883.0,3057.0,2636.0,2905.0,2176.0,1248.0,0
2017-02-15 15:17:37.893343,125.072153,2932.0,3036.0,2620.0,2920.0,2183.0,1253.0,0
2017-02-15 15:19:46.946725,254.125535,2949.0,2782.0,2662.0,2901.0,2187.0,1270.0,0
2017-02-15 15:21:56.834154,384.012964,2948.0,2680.0,2647.0,2930.0,2181.0,1216.0,0
2017-02-15 15:24:06.819589,513.998399,2976.0,2669.0,2617.0,2914.0,2155.0,1193.0,0
2017-02-15 15:26:22.357341,649.536151,3008.0,2397.0,2590.0,2939.0,2144.0,1300.0,0
2017-02-15 15:28:42.386350,789.56516,2952.0,2588.0,2635.0,2945.0,2113.0,1038.0,0
2017-02-15 15:30:50.324668,917.503478,2948.0,2773.0,2645.0,2932.0,2062.0,1310.0,0
2017-02-15 15:32:53.865734,1041.044544,2962.0,2671.0,2660.0,2900.0,2057.0,1153.0,0
2017-02-15 15:35:18.275994,1185.454804,2862.0,2609.0,2671.0,2917.0,2069.0,1052.0,0
2017-02-15 15:37:29.570503,1316.749313,2869.0,2698.0,2646.0,2907.0,2057.0,1157.0,0
2017-02-15 15:39:34.906672,1442.085482,2911.0,2738.0,2589.0,2896.0,1996.0,1172.0,0
2017-02-15 15:41:44.969111,1572.147921,2969.0,2730.0,2647.0,2870.0,1983.0,1271.0,0
2017-02-15 15:44:33.985779,1741.164589,3003.0,2707.0,2641.0,2926.0,2026.0,1233.0,0
2017-02-15 15:48:18.844640,1966.02345,3002.0,2810.0,2632.0,2889.0,1966.0,1111.0,0
2017-02-15 15:50:22.917736,2090.096546,3005.0,2870.0,2641.0,2966.0,1965.0,1198.0,0
2017-02-15 15:52:32.498148,2219.676958,2989.0,2840.0,2656.0,2852.0,1987.0,1211.0,0
2017-02-15 15:54:34.825145,2342.003955,2967.0,2763.0,2628.0,2874.0,1936.0,1470.0,0
2017-02-15 15:56:38.889241,2466.068051,2949.0,2681.0,2643.0,2856.0,1930.0,1474.0,0
2017-02-15 15:58:42.933336,2590.112146,2951.0,2695.0,2641.0,2834.0,1921.0,1405.0,0
58:42.9,2590.112146,2951.0,2695.0,2641.0,2834.0,1921.0,1405.0,0
00:46.9,2714.066235,2957.0,2680.0,2647.0,2808.0,1971.0,1671.0,0
03:19.1,2866.310943,2972.0,2742.0,2651.0,2823.0,1953.0,1694.0,0
05:24.4,2991.61011,2960.0,2698.0,2642.0,2811.0,1884.0,1689.0,0
07:32.1,3119.320509,2908.0,2705.0,2651.0,2755.0,1857.0,1709.0,0
09:46.9,3254.115219,2844.0,2703.0,2638.0,2754.0,1836.0,1478.0,0
11:58.9,3386.096768,2824.0,2712.0,2628.0,2697.0,1825.0,1546.0,0
14:08.8,3516.025199,2804.0,2639.0,2630.0,2698.0,1809.0,1525.0,0
16:24.4,3651.617955,2919.0,2807.0,2652.0,2705.0,1841.0,1522.0,0
18:27.9,3775.102018,2913.0,2681.0,2703.0,2694.0,1844.0,1550.0,0
20:40.5,3907.697602,2980.0,2628.0,2595.0,2702.0,1754.0,1573.0,0
22:47.4,4034.59186,2975.0,2731.0,2544.0,2718.0,1755.0,1584.0,0
24:53.0,4160.226045,2942.0,2567.0,2594.0,2651.0,1845.0,1581.0,0
26:58.0,4285.165192,2906.0,2623.0,2592.0,2648.0,1812.0,1575.0,0
29:10.6,4417.788777,2894.0,2535.0,2596.0,2668.0,1849.0,1580.0,0
31:17.6,4544.802042,2861.0,2511.0,2581.0,2752.0,1730.0,1740.0,0
33:36.4,4683.608981,2891.0,2526.0,2560.0,2728.0,1705.0,1590.0,0
35:40.0,4807.130046,2886.0,2530.0,2623.0,2716.0,1768.0,1616.0,0
37:58.5,4945.66197,2874.0,2618.0,2606.0,2667.0,1757.0,1592.0,0
40:06.4,5073.627289,2849.0,2640.0,2778.0,2705.0,1722.0,1672.0,0
42:20.6,5207.74196,2842.0,2718.0,2816.0,2773.0,1783.0,1646.0,0
44:24.2,5331.369031,2944.0,2540.0,2737.0,2791.0,1773.0,1643.0,0
46:36.6,5463.745602,2980.0,2393.0,2738.0,2772.0,1780.0,1684.0,0
48:40.0,5587.202664,2988.0,2357.0,2609.0,2759.0,1777.0,1648.0,0
50:51.0,5718.189156,2850.0,2343.0,2533.0,2719.0,1787.0,1548.0,0
52:54.5,5841.729222,2853.0,2344.0,2572.0,2725.0,1785.0,1469.0,0
55:00.8,5967.998444,2858.0,2335.0,2608.0,2664.0,1774.0,1481.0,0
57:07.3,6094.49968,2802.0,2175.0,2726.0,2645.0,1773.0,1488.0,0
59:22.5,6229.65341,2809.0,2237.0,2763.0,2604.0,1785.0,1608.0,0
01:28.8,6355.944633,2898.0,2240.0,2514.0,2613.0,1756.0,1566.0,0
03:42.5,6489.672282,2940.0,2238.0,2477.0,2623.0,1861.0,1369.0,0
05:48.5,6615.669489,2959.0,2284.0,2590.0,2594.0,1879.0,1430.0,0
08:00.5,6747.673128,2918.0,2336.0,2616.0,2620.0,1774.0,1414.0,0
10:02.8,6870.019126,2880.0,2361.0,2610.0,2553.0,1758.0,1455.0,0
12:16.7,7003.875782,2834.0,2327.0,2613.0,2547.0,1926.0,1512.0,0
14:20.1,7127.293841,2738.0,2225.0,2568.0,2538.0,1898.0,1524.0,0
16:32.6,7259.740416,2752.0,2269.0,2641.0,2520.0,1870.0,1525.0,0
18:41.8,7389.016811,2760.0,2449.0,2613.0,2508.0,1860.0,1347.0,0
20:52.6,7519.743288,2827.0,2510.0,2640.0,2498.0,1823.0,1410.0,0
22:58.5,7645.706492,2813.0,2227.0,2593.0,2505.0,1841.0,1454.0,0
25:10.7,7777.866052,2827.0,2256.0,2602.0,2533.0,1852.0,1447.0,0
27:24.7,7911.837714,2818.0,2256.0,2616.0,2505.0,1877.0,1435.0,0
29:36.6,8043.801262,2863.0,2215.0,2587.0,2515.0,1877.0,1326.0,0
31:50.1,8177.324899,2889.0,2208.0,2562.0,2506.0,1869.0,1288.0,0
34:01.0,8308.210385,2885.0,2221.0,2587.0,2508.0,1836.0,1313.0,0
36:13.4,8440.579957,2823.0,2203.0,2625.0,2511.0,1829.0,1250.0,0
38:17.2,8564.377037,2870.0,2207.0,2658.0,2491.0,1817.0,1155.0,0
40:38.7,8705.86413,2734.0,2189.0,2580.0,2485.0,1883.0,1284.0,0
42:42.1,8829.286189,2719.0,2049.0,2593.0,2369.0,1866.0,1284.0,0
44:54.6,8961.777767,2797.0,1977.0,2560.0,2370.0,1861.0,1293.0,0
46:58.2,9085.344835,2862.0,1978.0,2526.0,2364.0,1900.0,1290.0,0
49:10.5,9217.702405,2862.0,2124.0,2550.0,2473.0,1966.0,1302.0,0
51:24.6,9351.819076,2855.0,2071.0,2551.0,2420.0,1888.0,1290.0,0
53:32.7,9479.841399,2850.0,2178.0,2561.0,2425.0,1853.0,1301.0,0
55:40.6,9607.797718,2817.0,2429.0,2540.0,2422.0,1961.0,1277.0,0
57:47.4,9734.533967,2833.0,2303.0,2567.0,2456.0,1931.0,1289.0,0
59:56.8,9863.953369,2798.0,2226.0,2548.0,2454.0,1977.0,1289.0,0
02:10.6,9997.765022,2742.0,2191.0,2585.0,2410.0,1920.0,1300.0,0
04:17.1,10124.30626,2740.0,2164.0,2492.0,2422.0,1915.0,1308.0,0
06:20.7,10247.85033,2815.0,2159.0,2480.0,2410.0,1892.0,1292.0,0
08:34.6,10381.77608,2840.0,2226.0,2501.0,2417.0,1900.0,1282.0,0
10:38.2,10505.37015,2880.0,2144.0,2537.0,2444.0,1898.0,1279.0,0
12:44.7,10631.83138,2907.0,2232.0,2555.0,2413.0,1882.0,1268.0,0
14:48.2,10755.42345,2802.0,1985.0,2533.0,2356.0,1908.0,1273.0,0
16:54.6,10881.77968,2702.0,1950.0,2527.0,2384.0,2008.0,1252.0,0
16:54.6,10881.77968,2702.0,1950.0,2527.0,2384.0,2008.0,1252.0,0
19:02.6,11009.77,2681.0,1826.0,2497.0,2378.0,2002.0,1261.0,0
21:14.8,11141.99656,2728.0,1704.0,2515.0,2322.0,1985.0,1287.0,0
23:27.1,11274.30513,2758.0,1644.0,2518.0,2322.0,1977.0,1285.0,0
25:48.8,11416.02223,2853.0,1636.0,2538.0,2395.0,1941.0,1285.0,0
27:56.6,11543.81754,2853.0,1633.0,2517.0,2287.0,1916.0,1271.0,0
30:13.4,11680.57436,2854.0,1644.0,2536.0,2293.0,1906.0,1267.0,0
32:24.7,11811.87687,2737.0,1745.0,2504.0,2287.0,1903.0,1269.0,0
34:31.1,11938.32611,2727.0,2044.0,2517.0,2278.0,1884.0,1268.0,0
37:30.6,12117.82437,2720.0,2156.0,2506.0,2256.0,1883.0,1309.0,0
39:32.8,12240.01836,2752.0,2240.0,2524.0,2296.0,1879.0,1313.0,0
42:24.2,12411.35116,2817.0,2108.0,2518.0,2294.0,1872.0,1291.0,0
44:57.7,12564.88894,2827.0,1851.0,2504.0,2310.0,1916.0,1281.0,0
47:16.3,12703.48187,2739.0,1909.0,2484.0,2228.0,1903.0,1303.0,0
50:10.3,12877.49182,2608.0,1909.0,2489.0,2245.0,1850.0,1329.0,0
52:13.8,13000.96989,2668.0,1987.0,2500.0,2246.0,1862.0,1370.0,0
55:08.1,13175.32086,2736.0,1901.0,2472.0,2296.0,1890.0,1309.0,0
57:29.5,13316.70295,2815.0,1880.0,2486.0,2261.0,1868.0,1214.0,0
00:11.8,13478.93723,2809.0,1894.0,2481.0,2267.0,1888.0,1311.0,0
03:08.3,13655.45132,2818.0,1985.0,2482.0,2245.0,1838.0,1313.0,0
06:05.5,13832.69546,2666.0,1780.0,2489.0,2242.0,1843.0,1198.0,0
08:09.2,13956.38665,2608.0,1770.0,2456.0,2241.0,1845.0,1355.0,0
10:53.4,14120.55504,2670.0,1854.0,2462.0,2225.0,1849.0,1319.0,0
13:48.3,14295.46305,2749.0,1745.0,2441.0,2212.0,1882.0,1315.0,0
16:00.9,14428.05263,2788.0,1843.0,2412.0,2215.0,1889.0,1414.0,0
18:14.4,14561.53026,2820.0,1753.0,2415.0,2215.0,1822.0,1370.0,0
20:16.6,14683.73525,2819.0,1769.0,2439.0,2212.0,1821.0,1303.0,0
22:29.8,14816.99188,2757.0,1769.0,2451.0,2215.0,1811.0,1299.0,0
25:21.3,14988.48669,2670.0,1763.0,2417.0,2215.0,1861.0,1304.0,0
27:31.3,15118.47312,2660.0,1748.0,2466.0,2207.0,1865.0,1486.0,0
29:45.4,15252.54079,2705.0,1756.0,2432.0,2204.0,1858.0,1311.0,0
32:29.5,15416.67518,2776.0,1571.0,2469.0,2189.0,1830.0,1203.0,0
34:33.5,15540.65527,2785.0,1545.0,2419.0,2196.0,1826.0,1245.0,0
36:58.3,15685.45255,2766.0,1517.0,2406.0,2191.0,1828.0,1268.0,0
39:22.9,15830.03982,2706.0,1454.0,2437.0,2187.0,1829.0,1271.0,0
41:57.8,15985.02868,2721.0,1453.0,2404.0,2196.0,1807.0,1255.0,0
44:49.3,16156.43949,2715.0,1654.0,2403.0,2125.0,1798.0,1261.0,0
47:12.2,16299.37166,2711.0,1668.0,2432.0,2125.0,1790.0,1243.0,0
49:15.7,16422.91773,2698.0,1537.0,2414.0,2128.0,1755.0,1245.0,0
51:19.3,16546.4888,2699.0,1502.0,2408.0,2127.0,1770.0,1274.0,0
54:13.9,16721.08378,2720.0,1454.0,2425.0,2126.0,1795.0,1281.0,0
56:43.2,16870.39332,2763.0,1516.0,2439.0,2118.0,1767.0,1277.0,0
58:46.9,16994.0564,2744.0,1648.0,2407.0,2109.0,1770.0,1279.0,0
01:30.3,17157.48174,2737.0,1648.0,2463.0,2111.0,1767.0,1282.0,0
04:02.5,17309.65545,2723.0,1622.0,2451.0,2112.0,1779.0,1277.0,0
06:54.1,17481.23626,2714.0,1552.0,2458.0,2106.0,1770.0,1266.0,0
09:45.4,17652.56413,2637.0,1776.0,2451.0,2086.0,1761.0,1228.0,0
12:30.9,17818.0856,2641.0,1785.0,2475.0,2089.0,1755.0,1222.0,0
15:14.4,17981.57195,2696.0,1773.0,2423.0,2119.0,1771.0,1138.0,0
17:33.0,18120.18188,2769.0,1522.0,2478.0,2057.0,1756.0,1158.0,0
20:09.3,18276.47082,2763.0,1503.0,2525.0,2044.0,1755.0,1158.0,0
22:17.6,18404.80616,2766.0,1652.0,2511.0,2046.0,1754.0,1151.0,0
25:14.0,18581.22825,2680.0,1700.0,2516.0,2052.0,1749.0,1150.0,0
27:32.5,18719.70117,2678.0,1338.0,2496.0,2087.0,1724.0,1156.0,0
